country,pi,u_icer,ll_icer,ul_icer
Mozambique,0.201,316.2007319991313,242.0659228264032,390.33554117185935
Mozambique,0.202,314.63538184071973,240.8675766737972,388.40318700764226
Mozambique,0.203,313.08545385135653,239.6810368872267,386.48987081548637
Mozambique,0.20400000000000001,311.55072123443813,238.50612984366194,384.5953126252143
Mozambique,0.20500000000000002,310.0309616186604,237.34268530783916,382.71923792948166
Mozambique,0.20600000000000002,308.52595695060865,236.19053635003417,380.8613775511831
Mozambique,0.20700000000000002,307.0354933904608,235.0495192662176,379.02146751470394
Mozambique,0.20800000000000002,305.5593612106989,233.91947350051458,377.19924892088324
Mozambique,0.20900000000000002,304.0973546977291,232.80024156989015,375.39446782556803
Mozambique,0.21000000000000002,302.6492720563113,231.6916689909859,373.6068751216367
Mozambique,0.21100000000000002,301.21491531670796,230.5936042090381,371.83622642437786
Mozambique,0.21200000000000002,299.79409024445937,229.50589852880674,370.082281960112
Mozambique,0.21300000000000002,298.3866062527013,228.4284060474509,368.34480645795173
Mozambique,0.214,296.99227631694106,227.3609835892853,366.6235690445968
Mozambique,0.215,295.6109168922111,226.30349064235833,364.91834314206386
Mozambique,0.216,294.2423478325249,225.25578929679182,363.228906368258
Mozambique,0.217,292.8863923125594,224.21774418482514,361.5550404402936
Mozambique,0.218,291.5428767514926,223.1892224225094,359.8965310804758
Mozambique,0.219,290.2116307389287,222.1700935530002,358.25316792485717
Mozambique,0.22,288.89248696284267,221.16022949139563,356.6247444342897
Mozambique,0.221,287.58528113948137,220.15950447107258,355.01105780789015
Mozambique,0.222,286.2898519451594,219.1677949914732,353.4119088988456
Mozambique,0.223,285.0060409498896,218.1849797672961,351.8271021324831
Mozambique,0.224,283.73369255279187,217.2109396790493,350.25644542653447
Mozambique,0.225,282.47265391922394,216.24555772492022,348.69975011352767
Mozambique,0.226,281.22277491958135,215.28871897392497,347.15683086523774
Mozambique,0.227,279.9839080697153,214.3403105202953,345.6275056191353
Mozambique,0.228,278.75590847291835,213.400221439066,344.1115955067707
Mozambique,0.229,277.53863376342963,212.46834274282554,342.6089247840337
Mozambique,0.23,276.33194405141467,211.5445673395958,341.11932076323353
Mozambique,0.231,275.1357018693739,210.62878999180532,339.6426137469425
Mozambique,0.232,273.949772119937,209.72090727632343,338.17863696355056
Mozambique,0.233,272.7740220250016,208.8208175455237,336.7272265044795
Mozambique,0.234,271.6083210761769,207.9284208893463,335.2882212630075
Mozambique,0.23500000000000001,270.452540986491,207.04361909832784,333.86146287465414
Mozambique,0.23600000000000002,269.3065556433279,206.1663156275722,332.4467956590836
